Type,Week,Zone,Date,MW
OCNMFW2,14,N,20210721091000,12004
OCNMFW2,15,N,20210721091000,13813
OCNMFW2,16,N,20210721091000,13756
OCNMFW2,17,N,20210721091000,16583
OCNMFW2,18,N,20210721091000,17446
OCNMFW2,19,N,20210721091000,14614
OCNMFW2,20,N,20210721091000,18627
OCNMFW2,21,N,20210721091000,22180
OCNMFW2,22,N,20210721091000,19758
OCNMFW2,23,N,20210721091000,21874
OCNMFW2,24,N,20210721091000,18411
OCNMFW2,25,N,20210721091000,17334
OCNMFW2,26,N,20210721091000,18132
OCNMFW2,27,N,20210721091000,14837
OCNMFW2,28,N,20210721091000,13745
OCNMFW2,29,N,20210721091000,16804
FTR,204
