,settlementDate,settlementPeriod,powerSystemResourceType,quantity
112,2021-07-19,11,"""Wind Onshore""",211.552
113,2021-07-19,11,"""Other""",136
114,2021-07-19,11,"""Nuclear""",4758
115,2021-07-19,11,"""Fossil Oil""",0
116,2021-07-19,11,"""Fossil Gas""",10324
117,2021-07-19,11,"""Fossil Hard coal""",339
118,2021-07-19,11,"""Hydro Run-of-river and poundage""",110
119,2021-07-19,11,"""Hydro Pumped Storage""",0
120,2021-07-19,11,"""Biomass""",2410
121,2021-07-19,12,"""Solar""",104
122,2021-07-19,12,"""Wind Offshore""",393.285
123,2021-07-19,12,"""Wind Onshore""",206.973
124,2021-07-19,12,"""Other""",137
125,2021-07-19,12,"""Nuclear""",4802
126,2021-07-19,12,"""Fossil Oil""",0
127,2021-07-19,12,"""Fossil Gas""",10518
128,2021-07-19,12,"""Fossil Hard coal""",387
129,2021-07-19,12,"""Hydro Run-of-river and poundage""",110
130,2021-07-19,12,"""Hydro Pumped Storage""",0
131,2021-07-19,12,"""Biomass""",2344
132,2021-07-19,13,"""Solar""",386
133,2021-07-19,13,"""Wind Offshore""",34.361
134,2021-07-19,13,"""Wind Onshore""",196.699
135,2021-07-19,13,"""Other""",139
136,2021-07-19,13,"""Nuclear""",4950
137,2021-07-19,13,"""Fossil Oil""",0
138,2021-07-19,13,"""Fossil Gas""",10824
139,2021-07-19,13,"""Fossil Hard coal""",386
140,2021-07-19,13,"""Hydro Run-of-river and poundage""",110
141,2021-07-19,13,"""Hydro Pumped Storage""",0
142,2021-07-19,13,"""Biomass""",2398
143,2021-07-19,14,"""Solar""",791
144,2021-07-19,14,"""Wind Offshore""",530.538
145,2021-07-19,14,"""Wind Onshore""",208.189
146,2021-07-19,14,"""Other""",163
147,2021-07-19,14,"""Nuclear""",4958
148,2021-07-19,14,"""Fossil Oil""",0
149,2021-07-19,14,"""Fossil Gas""",12451
150,2021-07-19,14,"""Fossil Hard coal""",393
151,2021-07-19,14,"""Hydro Run-of-river and poundage""",110
152,2021-07-19,14,"""Hydro Pumped Storage""",0
153,2021-07-19,14,"""Biomass""",2401
154,2021-07-19,15,"""Solar""",1310
155,2021-07-19,15,"""Wind Offshore""",570.843
156,2021-07-19,15,"""Wind Onshore""",196.449
157,2021-07-19,15,"""Other""",174
158,2021-07-19,15,"""Nuclear""",4960
159,2021-07-19,15,"""Fossil Oil""",0
160,2021-07-19,15,"""Fossil Gas""",13783
161,2021-07-19,15,"""Fossil Hard coal""",523
162,2021-07-19,15,"""Hydro Run-of-river and poundage""",109
163,2021-07-19,15,"""Hydro Pumped Storage""",0
164,2021-07-19,15,"""Biomass""",2333
165,2021-07-19,16,"""Solar""",1930
166,2021-07-19,16,"""Wind Offshore""",585.137
167,2021-07-19,16,"""Wind Onshore""",193.157
168,2021-07-19,16,"""Other""",175
169,2021-07-19,16,"""Nuclear""",4963
170,2021-07-19,16,"""Fossil Oil""",0
171,2021-07-19,16,"""Fossil Gas""",15055
172,2021-07-19,16,"""Fossil Hard coal""",880
173,2021-07-19,16,"""Hydro Run-of-river and poundage""",109
174,2021-07-19,16,"""Hydro Pumped Storage""",0
175,2021-07-19,16,"""Biomass""",2361
176,2021-07-19,17,"""Solar""",2590
177,2021-07-19,17,"""Wind Offshore""",616.075
178,2021-07-19,17,"""Wind Onshore""",178.213
179,2021-07-19,17,"""Other""",165
180,2021-07-19,17,"""Nuclear""",4959
181,2021-07-19,17,"""Fossil Oil""",0
182,2021-07-19,17,"""Fossil Gas""",15509
183,2021-07-19,17,"""Fossil Hard coal""",985
184,2021-07-19,17,"""Hydro Run-of-river and poundage""",180
185,2021-07-19,17,"""Hydro Pumped Storage""",602
186,2021-07-19,17,"""Biomass""",2335
187,2021-07-19,18,"""Solar""",3300
188,2021-07-19,18,"""Wind Offshore""",632.921
189,2021-07-19,18,"""Wind Onshore""",177.573
190,2021-07-19,18,"""Other""",274
191,2021-07-19,18,"""Nuclear""",4959
192,2021-07-19,18,"""Fossil Oil""",0
193,2021-07-19,18,"""Fossil Gas""",15882
194,2021-07-19,18,"""Fossil Hard coal""",993
