,settlementDate,settlementPeriod,powerSystemResourceType,quantity
561,2021-07-20,4,"""Solar""",0
562,2021-07-20,4,"""Wind Offshore""",882.939
563,2021-07-20,4,"""Wind Onshore""",307.547
564,2021-07-20,4,"""Other""",139
565,2021-07-20,4,"""Nuclear""",5063
566,2021-07-20,4,"""Fossil Oil""",0
567,2021-07-20,4,"""Fossil Gas""",11553
568,2021-07-20,4,"""Fossil Hard coal""",707
569,2021-07-20,4,"""Hydro Run-of-river and poundage""",90
570,2021-07-20,4,"""Hydro Pumped Storage""",0
571,2021-07-20,4,"""Biomass""",2386
572,2021-07-20,5,"""Wind Onshore""",286.599
573,2021-07-20,5,"""Other""",139
574,2021-07-20,5,"""Nuclear""",5039
575,2021-07-20,5,"""Fossil Oil""",0
576,2021-07-20,5,"""Fossil Gas""",11158
577,2021-07-20,5,"""Fossil Hard coal""",688
578,2021-07-20,5,"""Hydro Run-of-river and poundage""",90
579,2021-07-20,5,"""Hydro Pumped Storage""",0
580,2021-07-20,5,"""Biomass""",2366
581,2021-07-20,5,"""Solar""",0
582,2021-07-20,5,"""Wind Offshore""",909.49
583,2021-07-20,6,"""Solar""",1
584,2021-07-20,6,"""Wind Offshore""",906.063
585,2021-07-20,6,"""Wind Onshore""",285.685
586,2021-07-20,6,"""Other""",139
587,2021-07-20,6,"""Nuclear""",5061
588,2021-07-20,6,"""Fossil Oil""",0
589,2021-07-20,6,"""Fossil Gas""",11037
590,2021-07-20,6,"""Fossil Hard coal""",640
591,2021-07-20,6,"""Hydro Run-of-river and poundage""",90
592,2021-07-20,6,"""Hydro Pumped Storage""",0
593,2021-07-20,6,"""Biomass""",2390
594,2021-07-20,7,"""Solar""",0
595,2021-07-20,7,"""Wind Offshore""",842.349
596,2021-07-20,7,"""Wind Onshore""",259.099
597,2021-07-20,7,"""Other""",139
598,2021-07-20,7,"""Nuclear""",5057
599,2021-07-20,7,"""Fossil Oil""",0
600,2021-07-20,7,"""Fossil Gas""",10875
601,2021-07-20,7,"""Fossil Hard coal""",634
602,2021-07-20,7,"""Hydro Run-of-river and poundage""",90
603,2021-07-20,7,"""Hydro Pumped Storage""",0
604,2021-07-20,7,"""Biomass""",2390
605,2021-07-20,8,"""Solar""",1
606,2021-07-20,8,"""Wind Offshore""",925.384
607,2021-07-20,8,"""Wind Onshore""",258.319
608,2021-07-20,8,"""Other""",139
609,2021-07-20,8,"""Nuclear""",5063
610,2021-07-20,8,"""Fossil Oil""",0
611,2021-07-20,8,"""Fossil Gas""",10893
612,2021-07-20,8,"""Fossil Hard coal""",596
613,2021-07-20,8,"""Hydro Run-of-river and poundage""",90
614,2021-07-20,8,"""Hydro Pumped Storage""",0
615,2021-07-20,8,"""Biomass""",2332
616,2021-07-20,9,"""Solar""",1
617,2021-07-20,9,"""Wind Offshore""",913.751
618,2021-07-20,9,"""Wind Onshore""",242.802
619,2021-07-20,9,"""Other""",139
620,2021-07-20,9,"""Nuclear""",5054
621,2021-07-20,9,"""Fossil Oil""",0
622,2021-07-20,9,"""Fossil Gas""",10902
623,2021-07-20,9,"""Fossil Hard coal""",507
624,2021-07-20,9,"""Hydro Run-of-river and poundage""",90
625,2021-07-20,9,"""Hydro Pumped Storage""",0
626,2021-07-20,9,"""Biomass""",2292
627,2021-07-20,10,"""Solar""",1
628,2021-07-20,10,"""Wind Offshore""",956.346
629,2021-07-20,10,"""Wind Onshore""",233.128
630,2021-07-20,10,"""Other""",142
631,2021-07-20,10,"""Nuclear""",5054
632,2021-07-20,10,"""Fossil Oil""",0
633,2021-07-20,10,"""Fossil Gas""",10688
634,2021-07-20,10,"""Fossil Hard coal""",505
635,2021-07-20,10,"""Hydro Run-of-river and poundage""",90
636,2021-07-20,10,"""Hydro Pumped Storage""",0
637,2021-07-20,10,"""Biomass""",2492
638,2021-07-20,11,"""Solar""",4
639,2021-07-20,11,"""Wind Offshore""",952.376
640,2021-07-20,11,"""Wind Onshore""",226.555
641,2021-07-20,11,"""Other""",141
642,2021-07-20,11,"""Nuclear""",5049
643,2021-07-20,11,"""Fossil Oil""",0
644,2021-07-20,11,"""Fossil Gas""",10629
645,2021-07-20,11,"""Fossil Hard coal""",534
646,2021-07-20,11,"""Hydro Run-of-river and poundage""",90
647,2021-07-20,11,"""Hydro Pumped Storage""",0
648,2021-07-20,11,"""Biomass""",2380
649,2021-07-20,12,"""Solar""",102
650,2021-07-20,12,"""Wind Offshore""",955.229
651,2021-07-20,12,"""Wind Onshore""",228.843
652,2021-07-20,12,"""Other""",140
653,2021-07-20,12,"""Nuclear""",5054
654,2021-07-20,12,"""Fossil Oil""",0
655,2021-07-20,12,"""Fossil Gas""",10922
656,2021-07-20,12,"""Fossil Hard coal""",797
657,2021-07-20,12,"""Hydro Run-of-river and poundage""",90
658,2021-07-20,12,"""Hydro Pumped Storage""",0
659,2021-07-20,12,"""Biomass""",2240
660,2021-07-20,13,"""Solar""",377
661,2021-07-20,13,"""Wind Offshore""",31.66
662,2021-07-20,13,"""Wind Onshore""",206.215
663,2021-07-20,13,"""Other""",174
664,2021-07-20,13,"""Nuclear""",5063
665,2021-07-20,13,"""Fossil Oil""",0
666,2021-07-20,13,"""Fossil Gas""",11763
667,2021-07-20,13,"""Fossil Hard coal""",742
668,2021-07-20,13,"""Hydro Run-of-river and poundage""",90
669,2021-07-20,13,"""Hydro Pumped Storage""",0
670,2021-07-20,13,"""Biomass""",2355
671,2021-07-20,14,"""Solar""",780
672,2021-07-20,14,"""Wind Offshore""",858.272
673,2021-07-20,14,"""Wind Onshore""",219.157
674,2021-07-20,14,"""Other""",399
675,2021-07-20,14,"""Nuclear""",5059
676,2021-07-20,14,"""Fossil Oil""",0
677,2021-07-20,14,"""Fossil Gas""",12701
678,2021-07-20,14,"""Fossil Hard coal""",979
679,2021-07-20,14,"""Hydro Run-of-river and poundage""",90
680,2021-07-20,14,"""Hydro Pumped Storage""",131
681,2021-07-20,14,"""Biomass""",2321
682,2021-07-20,15,"""Solar""",1290
683,2021-07-20,15,"""Wind Offshore""",899.102
684,2021-07-20,15,"""Wind Onshore""",215.59
685,2021-07-20,15,"""Other""",371
686,2021-07-20,15,"""Nuclear""",5061
687,2021-07-20,15,"""Fossil Oil""",0
688,2021-07-20,15,"""Fossil Gas""",14162
689,2021-07-20,15,"""Fossil Hard coal""",935
690,2021-07-20,15,"""Hydro Run-of-river and poundage""",90
691,2021-07-20,15,"""Hydro Pumped Storage""",130
692,2021-07-20,15,"""Biomass""",2312
693,2021-07-20,16,"""Solar""",1890
694,2021-07-20,16,"""Wind Offshore""",866.747
695,2021-07-20,16,"""Wind Onshore""",210.877
696,2021-07-20,16,"""Other""",377
697,2021-07-20,16,"""Nuclear""",5061
698,2021-07-20,16,"""Fossil Oil""",0
699,2021-07-20,16,"""Fossil Gas""",15200
700,2021-07-20,16,"""Fossil Hard coal""",983
701,2021-07-20,16,"""Hydro Run-of-river and poundage""",91
702,2021-07-20,16,"""Hydro Pumped Storage""",0
703,2021-07-20,16,"""Biomass""",2491
704,2021-07-20,17,"""Solar""",2560
705,2021-07-20,17,"""Wind Offshore""",868.616
706,2021-07-20,17,"""Wind Onshore""",202.489
707,2021-07-20,17,"""Other""",375
708,2021-07-20,17,"""Nuclear""",5050
709,2021-07-20,17,"""Fossil Oil""",0
710,2021-07-20,17,"""Fossil Gas""",15456
711,2021-07-20,17,"""Fossil Hard coal""",943
712,2021-07-20,17,"""Hydro Run-of-river and poundage""",170
713,2021-07-20,17,"""Hydro Pumped Storage""",1
714,2021-07-20,17,"""Biomass""",2487
715,2021-07-20,18,"""Solar""",3310
716,2021-07-20,18,"""Wind Offshore""",829.916
717,2021-07-20,18,"""Wind Onshore""",206.586
718,2021-07-20,18,"""Other""",359
719,2021-07-20,18,"""Nuclear""",5057
720,2021-07-20,18,"""Fossil Oil""",0
721,2021-07-20,18,"""Fossil Gas""",15674
722,2021-07-20,18,"""Fossil Hard coal""",982
723,2021-07-20,18,"""Hydro Run-of-river and poundage""",214
724,2021-07-20,18,"""Hydro Pumped Storage""",0
725,2021-07-20,18,"""Biomass""",2479
726,2021-07-20,19,"""Solar""",4090
727,2021-07-20,19,"""Wind Offshore""",875.754
728,2021-07-20,19,"""Wind Onshore""",216.791
729,2021-07-20,19,"""Other""",321
730,2021-07-20,19,"""Nuclear""",5059
731,2021-07-20,19,"""Fossil Oil""",0
732,2021-07-20,19,"""Fossil Gas""",15675
733,2021-07-20,19,"""Fossil Hard coal""",980
734,2021-07-20,19,"""Hydro Run-of-river and poundage""",227
735,2021-07-20,19,"""Hydro Pumped Storage""",215
736,2021-07-20,19,"""Biomass""",2481
737,2021-07-20,20,"""Solar""",4810
738,2021-07-20,20,"""Wind Offshore""",822.529
739,2021-07-20,20,"""Wind Onshore""",214.199
740,2021-07-20,20,"""Other""",183
741,2021-07-20,20,"""Nuclear""",5081
742,2021-07-20,20,"""Fossil Oil""",0
743,2021-07-20,20,"""Fossil Gas""",15602
744,2021-07-20,20,"""Fossil Hard coal""",979
745,2021-07-20,20,"""Hydro Run-of-river and poundage""",228
746,2021-07-20,20,"""Hydro Pumped Storage""",58
747,2021-07-20,20,"""Biomass""",2490
748,2021-07-20,21,"""Solar""",5550
749,2021-07-20,21,"""Wind Offshore""",773.01
750,2021-07-20,21,"""Wind Onshore""",236.76
751,2021-07-20,21,"""Other""",162
752,2021-07-20,21,"""Nuclear""",5074
753,2021-07-20,21,"""Fossil Oil""",0
754,2021-07-20,21,"""Fossil Gas""",15338
755,2021-07-20,21,"""Fossil Hard coal""",981
756,2021-07-20,21,"""Hydro Run-of-river and poundage""",141
757,2021-07-20,21,"""Hydro Pumped Storage""",0
758,2021-07-20,21,"""Biomass""",2497
759,2021-07-20,22,"""Fossil Oil""",0
760,2021-07-20,22,"""Fossil Gas""",15229
761,2021-07-20,22,"""Fossil Hard coal""",981
762,2021-07-20,22,"""Hydro Run-of-river and poundage""",128
763,2021-07-20,22,"""Hydro Pumped Storage""",150
764,2021-07-20,22,"""Biomass""",2489
765,2021-07-20,22,"""Solar""",6370
766,2021-07-20,22,"""Wind Offshore""",727.996
767,2021-07-20,22,"""Wind Onshore""",15.153
768,2021-07-20,22,"""Other""",140
769,2021-07-20,22,"""Nuclear""",5078
770,2021-07-20,23,"""Solar""",7000
771,2021-07-20,23,"""Wind Offshore""",761.49
772,2021-07-20,23,"""Wind Onshore""",258.835
773,2021-07-20,23,"""Other""",144
774,2021-07-20,23,"""Nuclear""",5076
775,2021-07-20,23,"""Fossil Oil""",0
776,2021-07-20,23,"""Fossil Gas""",15261
777,2021-07-20,23,"""Fossil Hard coal""",768
778,2021-07-20,23,"""Hydro Run-of-river and poundage""",122
779,2021-07-20,23,"""Hydro Pumped Storage""",0
780,2021-07-20,23,"""Biomass""",2485
781,2021-07-20,24,"""Solar""",7400
782,2021-07-20,24,"""Wind Offshore""",46.075
783,2021-07-20,24,"""Wind Onshore""",252.834
784,2021-07-20,24,"""Other""",141
785,2021-07-20,24,"""Nuclear""",5105
786,2021-07-20,24,"""Fossil Oil""",0
787,2021-07-20,24,"""Fossil Gas""",15292
788,2021-07-20,24,"""Fossil Hard coal""",461
789,2021-07-20,24,"""Hydro Run-of-river and poundage""",109
790,2021-07-20,24,"""Hydro Pumped Storage""",67
791,2021-07-20,24,"""Biomass""",2478
792,2021-07-20,25,"""Solar""",7710
793,2021-07-20,25,"""Wind Offshore""",54.156
794,2021-07-20,25,"""Wind Onshore""",299.794
795,2021-07-20,25,"""Other""",141
796,2021-07-20,25,"""Nuclear""",5100
797,2021-07-20,25,"""Fossil Oil""",0
798,2021-07-20,25,"""Fossil Gas""",15380
799,2021-07-20,25,"""Fossil Hard coal""",475
800,2021-07-20,25,"""Hydro Run-of-river and poundage""",109
801,2021-07-20,25,"""Hydro Pumped Storage""",135
802,2021-07-20,25,"""Biomass""",2478
803,2021-07-20,26,"""Solar""",7720
804,2021-07-20,26,"""Wind Offshore""",723.763
805,2021-07-20,26,"""Wind Onshore""",337.274
806,2021-07-20,26,"""Other""",140
807,2021-07-20,26,"""Nuclear""",5112
808,2021-07-20,26,"""Fossil Oil""",0
809,2021-07-20,26,"""Fossil Gas""",15402
810,2021-07-20,26,"""Fossil Hard coal""",782
811,2021-07-20,26,"""Hydro Run-of-river and poundage""",109
812,2021-07-20,26,"""Hydro Pumped Storage""",0
813,2021-07-20,26,"""Biomass""",2479
814,2021-07-20,27,"""Solar""",7780
815,2021-07-20,27,"""Wind Offshore""",753.135
816,2021-07-20,27,"""Wind Onshore""",398.591
817,2021-07-20,27,"""Other""",141
818,2021-07-20,27,"""Nuclear""",5112
819,2021-07-20,27,"""Fossil Oil""",0
820,2021-07-20,27,"""Fossil Gas""",15309
821,2021-07-20,27,"""Fossil Hard coal""",702
822,2021-07-20,27,"""Hydro Run-of-river and poundage""",109
823,2021-07-20,27,"""Hydro Pumped Storage""",64
824,2021-07-20,27,"""Biomass""",2417
825,2021-07-20,28,"""Solar""",7630
826,2021-07-20,28,"""Wind Offshore""",759.782
827,2021-07-20,28,"""Wind Onshore""",404.903
828,2021-07-20,28,"""Other""",145
829,2021-07-20,28,"""Nuclear""",5115
830,2021-07-20,28,"""Fossil Oil""",0
831,2021-07-20,28,"""Fossil Gas""",15083
832,2021-07-20,28,"""Fossil Hard coal""",735
833,2021-07-20,28,"""Hydro Run-of-river and poundage""",109
834,2021-07-20,28,"""Hydro Pumped Storage""",0
835,2021-07-20,28,"""Biomass""",2371
836,2021-07-20,29,"""Solar""",7480
837,2021-07-20,29,"""Wind Offshore""",808.778
838,2021-07-20,29,"""Wind Onshore""",500.928
839,2021-07-20,29,"""Other""",140
840,2021-07-20,29,"""Nuclear""",5189
841,2021-07-20,29,"""Fossil Oil""",0
842,2021-07-20,29,"""Fossil Gas""",15023
843,2021-07-20,29,"""Fossil Hard coal""",770
844,2021-07-20,29,"""Hydro Run-of-river and poundage""",109
845,2021-07-20,29,"""Hydro Pumped Storage""",23
846,2021-07-20,29,"""Biomass""",2399
847,2021-07-20,30,"""Solar""",7290
848,2021-07-20,30,"""Wind Offshore""",867.267
849,2021-07-20,30,"""Wind Onshore""",523.984
850,2021-07-20,30,"""Other""",201
851,2021-07-20,30,"""Nuclear""",5232
852,2021-07-20,30,"""Fossil Oil""",0
853,2021-07-20,30,"""Fossil Gas""",14823
854,2021-07-20,30,"""Fossil Hard coal""",830
855,2021-07-20,30,"""Hydro Run-of-river and poundage""",109
856,2021-07-20,30,"""Hydro Pumped Storage""",0
857,2021-07-20,30,"""Biomass""",2370
858,2021-07-20,31,"""Solar""",6890
859,2021-07-20,31,"""Wind Offshore""",1088.076
860,2021-07-20,31,"""Wind Onshore""",615.236
861,2021-07-20,31,"""Other""",159
862,2021-07-20,31,"""Nuclear""",5247
863,2021-07-20,31,"""Fossil Oil""",0
864,2021-07-20,31,"""Fossil Gas""",14742
865,2021-07-20,31,"""Fossil Hard coal""",832
866,2021-07-20,31,"""Hydro Run-of-river and poundage""",109
867,2021-07-20,31,"""Hydro Pumped Storage""",274
868,2021-07-20,31,"""Biomass""",2361
869,2021-07-20,32,"""Solar""",6280
870,2021-07-20,32,"""Wind Offshore""",1077.146
871,2021-07-20,32,"""Wind Onshore""",634.307
872,2021-07-20,32,"""Other""",196
873,2021-07-20,32,"""Nuclear""",5228
874,2021-07-20,32,"""Fossil Oil""",0
875,2021-07-20,32,"""Fossil Gas""",14584
876,2021-07-20,32,"""Fossil Hard coal""",835
877,2021-07-20,32,"""Hydro Run-of-river and poundage""",109
878,2021-07-20,32,"""Hydro Pumped Storage""",746
879,2021-07-20,32,"""Biomass""",2368
880,2021-07-20,33,"""Solar""",5530
881,2021-07-20,33,"""Wind Offshore""",964.919
882,2021-07-20,33,"""Wind Onshore""",664.057
883,2021-07-20,33,"""Other""",362
884,2021-07-20,33,"""Nuclear""",5237
885,2021-07-20,33,"""Fossil Oil""",0
886,2021-07-20,33,"""Fossil Gas""",15054
887,2021-07-20,33,"""Fossil Hard coal""",864
888,2021-07-20,33,"""Hydro Run-of-river and poundage""",151
889,2021-07-20,33,"""Hydro Pumped Storage""",603
890,2021-07-20,33,"""Biomass""",2179
891,2021-07-20,34,"""Solar""",4840
892,2021-07-20,34,"""Wind Offshore""",911.575
893,2021-07-20,34,"""Wind Onshore""",680.307
894,2021-07-20,34,"""Other""",386
895,2021-07-20,34,"""Nuclear""",5145
896,2021-07-20,34,"""Fossil Oil""",0
897,2021-07-20,34,"""Fossil Gas""",15538
898,2021-07-20,34,"""Fossil Hard coal""",859
899,2021-07-20,34,"""Hydro Run-of-river and poundage""",144
900,2021-07-20,34,"""Hydro Pumped Storage""",602
901,2021-07-20,34,"""Biomass""",2306
902,2021-07-20,35,"""Solar""",4180
903,2021-07-20,35,"""Wind Offshore""",884.219
904,2021-07-20,35,"""Wind Onshore""",724.137
905,2021-07-20,35,"""Other""",345
906,2021-07-20,35,"""Nuclear""",5143
907,2021-07-20,35,"""Fossil Oil""",0
908,2021-07-20,35,"""Fossil Gas""",15581
909,2021-07-20,35,"""Fossil Hard coal""",949
910,2021-07-20,35,"""Hydro Run-of-river and poundage""",345
911,2021-07-20,35,"""Hydro Pumped Storage""",1086
912,2021-07-20,35,"""Biomass""",2398
913,2021-07-20,36,"""Solar""",3450
914,2021-07-20,36,"""Wind Offshore""",893.702
915,2021-07-20,36,"""Wind Onshore""",737.475
916,2021-07-20,36,"""Other""",395
917,2021-07-20,36,"""Nuclear""",5138
918,2021-07-20,36,"""Fossil Oil""",0
919,2021-07-20,36,"""Fossil Gas""",15881
920,2021-07-20,36,"""Fossil Hard coal""",976
921,2021-07-20,36,"""Hydro Run-of-river and poundage""",412
922,2021-07-20,36,"""Hydro Pumped Storage""",1418
923,2021-07-20,36,"""Biomass""",2397
924,2021-07-20,37,"""Solar""",2720
925,2021-07-20,37,"""Wind Offshore""",888.287
926,2021-07-20,37,"""Wind Onshore""",664.678
927,2021-07-20,37,"""Other""",525
928,2021-07-20,37,"""Nuclear""",5132
929,2021-07-20,37,"""Fossil Oil""",0
930,2021-07-20,37,"""Fossil Gas""",16110
931,2021-07-20,37,"""Fossil Hard coal""",974
932,2021-07-20,37,"""Hydro Run-of-river and poundage""",435
933,2021-07-20,37,"""Hydro Pumped Storage""",1590
934,2021-07-20,37,"""Biomass""",2314
935,2021-07-20,38,"""Solar""",2050
936,2021-07-20,38,"""Wind Offshore""",843.804
937,2021-07-20,38,"""Wind Onshore""",675.324
938,2021-07-20,38,"""Other""",526
939,2021-07-20,38,"""Nuclear""",5136
940,2021-07-20,38,"""Fossil Oil""",0
941,2021-07-20,38,"""Fossil Gas""",16290
942,2021-07-20,38,"""Fossil Hard coal""",971
943,2021-07-20,38,"""Hydro Run-of-river and poundage""",443
944,2021-07-20,38,"""Hydro Pumped Storage""",1499
945,2021-07-20,38,"""Biomass""",2307
946,2021-07-20,39,"""Solar""",1460
947,2021-07-20,39,"""Wind Offshore""",625.198
948,2021-07-20,39,"""Wind Onshore""",601.416
949,2021-07-20,39,"""Other""",517
950,2021-07-20,39,"""Nuclear""",5135
951,2021-07-20,39,"""Fossil Oil""",0
952,2021-07-20,39,"""Fossil Gas""",16546
953,2021-07-20,39,"""Fossil Hard coal""",965
954,2021-07-20,39,"""Hydro Run-of-river and poundage""",527
955,2021-07-20,39,"""Hydro Pumped Storage""",1328
956,2021-07-20,39,"""Biomass""",2342
957,2021-07-20,40,"""Solar""",878
958,2021-07-20,40,"""Wind Offshore""",514.384
959,2021-07-20,40,"""Wind Onshore""",596.705
960,2021-07-20,40,"""Other""",498
961,2021-07-20,40,"""Nuclear""",5135
962,2021-07-20,40,"""Fossil Oil""",0
963,2021-07-20,40,"""Fossil Gas""",16770
964,2021-07-20,40,"""Fossil Hard coal""",971
965,2021-07-20,40,"""Hydro Run-of-river and poundage""",390
966,2021-07-20,40,"""Hydro Pumped Storage""",1260
967,2021-07-20,40,"""Biomass""",2397
968,2021-07-20,41,"""Solar""",408
969,2021-07-20,41,"""Wind Offshore""",495.467
970,2021-07-20,41,"""Wind Onshore""",502.85
971,2021-07-20,41,"""Other""",498
972,2021-07-20,41,"""Nuclear""",5131
973,2021-07-20,41,"""Fossil Oil""",0
974,2021-07-20,41,"""Fossil Gas""",17073
975,2021-07-20,41,"""Fossil Hard coal""",973
976,2021-07-20,41,"""Hydro Run-of-river and poundage""",277
977,2021-07-20,41,"""Hydro Pumped Storage""",812
978,2021-07-20,41,"""Biomass""",2395
979,2021-07-20,42,"""Solar""",108
980,2021-07-20,42,"""Wind Offshore""",500.943
981,2021-07-20,42,"""Wind Onshore""",479.617
982,2021-07-20,42,"""Other""",498
983,2021-07-20,42,"""Nuclear""",5125
984,2021-07-20,42,"""Fossil Oil""",0
985,2021-07-20,42,"""Fossil Gas""",16853
986,2021-07-20,42,"""Fossil Hard coal""",976
987,2021-07-20,42,"""Hydro Run-of-river and poundage""",261
988,2021-07-20,42,"""Hydro Pumped Storage""",665
989,2021-07-20,42,"""Biomass""",2400
990,2021-07-20,43,"""Solar""",9
991,2021-07-20,43,"""Wind Offshore""",424.09
992,2021-07-20,43,"""Wind Onshore""",418.173
993,2021-07-20,43,"""Other""",402
994,2021-07-20,43,"""Nuclear""",5129
995,2021-07-20,43,"""Fossil Oil""",0
996,2021-07-20,43,"""Fossil Gas""",16774
997,2021-07-20,43,"""Fossil Hard coal""",980
998,2021-07-20,43,"""Hydro Run-of-river and poundage""",424
999,2021-07-20,43,"""Hydro Pumped Storage""",297
1000,2021-07-20,43,"""Biomass""",2393
1001,2021-07-20,44,"""Solar""",3
1002,2021-07-20,44,"""Wind Offshore""",479.907
1003,2021-07-20,44,"""Wind Onshore""",429.233
1004,2021-07-20,44,"""Other""",442
1005,2021-07-20,44,"""Nuclear""",5128
1006,2021-07-20,44,"""Fossil Oil""",0
1007,2021-07-20,44,"""Fossil Gas""",16693
1008,2021-07-20,44,"""Fossil Hard coal""",977
1009,2021-07-20,44,"""Hydro Run-of-river and poundage""",263
1010,2021-07-20,44,"""Hydro Pumped Storage""",220
1011,2021-07-20,44,"""Biomass""",2400
1012,2021-07-20,45,"""Solar""",2
1013,2021-07-20,45,"""Wind Offshore""",479.254
1014,2021-07-20,45,"""Wind Onshore""",397.372
1015,2021-07-20,45,"""Other""",342
1016,2021-07-20,45,"""Nuclear""",4902
1017,2021-07-20,45,"""Fossil Oil""",0
1018,2021-07-20,45,"""Fossil Gas""",16855
1019,2021-07-20,45,"""Fossil Hard coal""",976
1020,2021-07-20,45,"""Hydro Run-of-river and poundage""",113
1021,2021-07-20,45,"""Hydro Pumped Storage""",223
1022,2021-07-20,45,"""Biomass""",2420
1023,2021-07-20,46,"""Solar""",0
1024,2021-07-20,46,"""Wind Offshore""",538.151
1025,2021-07-20,46,"""Wind Onshore""",397.866
1026,2021-07-20,46,"""Other""",257
1027,2021-07-20,46,"""Nuclear""",4874
1028,2021-07-20,46,"""Fossil Oil""",0
1029,2021-07-20,46,"""Fossil Gas""",16218
1030,2021-07-20,46,"""Fossil Hard coal""",965
1031,2021-07-20,46,"""Hydro Run-of-river and poundage""",84
1032,2021-07-20,46,"""Hydro Pumped Storage""",11
1033,2021-07-20,46,"""Biomass""",2427
1034,2021-07-20,47,"""Solar""",1
1035,2021-07-20,47,"""Wind Offshore""",561.11
1036,2021-07-20,47,"""Wind Onshore""",386.796
1037,2021-07-20,47,"""Other""",141
1038,2021-07-20,47,"""Nuclear""",4880
1039,2021-07-20,47,"""Fossil Oil""",0
1040,2021-07-20,47,"""Fossil Gas""",15198
1041,2021-07-20,47,"""Fossil Hard coal""",768
1042,2021-07-20,47,"""Hydro Run-of-river and poundage""",84
1043,2021-07-20,47,"""Hydro Pumped Storage""",0
1044,2021-07-20,47,"""Biomass""",2382
1045,2021-07-20,48,"""Solar""",1
1046,2021-07-20,48,"""Wind Offshore""",553.055
1047,2021-07-20,48,"""Wind Onshore""",376.778
1048,2021-07-20,48,"""Other""",140
1049,2021-07-20,48,"""Nuclear""",4885
1050,2021-07-20,48,"""Fossil Oil""",0
1051,2021-07-20,48,"""Fossil Gas""",14015
1052,2021-07-20,48,"""Fossil Hard coal""",635
1053,2021-07-20,48,"""Hydro Run-of-river and poundage""",212
1054,2021-07-20,48,"""Hydro Pumped Storage""",0
1055,2021-07-20,48,"""Biomass""",2427
1056,2021-07-21,1,"""Solar""",0
1057,2021-07-21,1,"""Wind Offshore""",488.528
1058,2021-07-21,1,"""Wind Onshore""",343.373
1059,2021-07-21,1,"""Other""",140
1060,2021-07-21,1,"""Nuclear""",4892
1061,2021-07-21,1,"""Fossil Oil""",0
1062,2021-07-21,1,"""Fossil Gas""",13304
1063,2021-07-21,1,"""Fossil Hard coal""",495
1064,2021-07-21,1,"""Hydro Run-of-river and poundage""",212
1065,2021-07-21,1,"""Hydro Pumped Storage""",0
1066,2021-07-21,1,"""Biomass""",2426
1067,2021-07-21,2,"""Solar""",0
1068,2021-07-21,2,"""Wind Offshore""",498.467
1069,2021-07-21,2,"""Wind Onshore""",332.811
1070,2021-07-21,2,"""Other""",140
1071,2021-07-21,2,"""Nuclear""",4774
1072,2021-07-21,2,"""Fossil Oil""",0
1073,2021-07-21,2,"""Fossil Gas""",13129
1074,2021-07-21,2,"""Fossil Hard coal""",290
1075,2021-07-21,2,"""Hydro Run-of-river and poundage""",212
1076,2021-07-21,2,"""Hydro Pumped Storage""",0
1077,2021-07-21,2,"""Biomass""",2440
1078,2021-07-21,3,"""Hydro Run-of-river and poundage""",51
1079,2021-07-21,3,"""Hydro Pumped Storage""",0
1080,2021-07-21,3,"""Biomass""",2436
1081,2021-07-21,3,"""Solar""",1
1082,2021-07-21,3,"""Wind Offshore""",514.725
1083,2021-07-21,3,"""Wind Onshore""",316.845
1084,2021-07-21,3,"""Other""",140
1085,2021-07-21,3,"""Nuclear""",4718
1086,2021-07-21,3,"""Fossil Oil""",0
1087,2021-07-21,3,"""Fossil Gas""",13033
1088,2021-07-21,3,"""Fossil Hard coal""",33
1089,2021-07-21,4,"""Solar""",1
1090,2021-07-21,4,"""Wind Offshore""",538.292
1091,2021-07-21,4,"""Wind Onshore""",315.932
1092,2021-07-21,4,"""Other""",140
1093,2021-07-21,4,"""Nuclear""",4708
1094,2021-07-21,4,"""Fossil Oil""",0
1095,2021-07-21,4,"""Fossil Gas""",12939
1096,2021-07-21,4,"""Fossil Hard coal""",0
1097,2021-07-21,4,"""Hydro Run-of-river and poundage""",51
1098,2021-07-21,4,"""Hydro Pumped Storage""",0
1099,2021-07-21,4,"""Biomass""",2425
1100,2021-07-21,5,"""Solar""",1
1101,2021-07-21,5,"""Wind Offshore""",550.594
1102,2021-07-21,5,"""Wind Onshore""",319.699
1103,2021-07-21,5,"""Other""",141
1104,2021-07-21,5,"""Nuclear""",4706
1105,2021-07-21,5,"""Fossil Oil""",0
1106,2021-07-21,5,"""Fossil Gas""",12789
1107,2021-07-21,5,"""Fossil Hard coal""",0
1108,2021-07-21,5,"""Hydro Run-of-river and poundage""",51
1109,2021-07-21,5,"""Hydro Pumped Storage""",0
1110,2021-07-21,5,"""Biomass""",2412
1111,2021-07-21,6,"""Solar""",0
1112,2021-07-21,6,"""Wind Offshore""",505.022
1113,2021-07-21,6,"""Wind Onshore""",327.629
1114,2021-07-21,6,"""Other""",140
1115,2021-07-21,6,"""Nuclear""",4709
1116,2021-07-21,6,"""Fossil Oil""",0
1117,2021-07-21,6,"""Fossil Gas""",12597
1118,2021-07-21,6,"""Fossil Hard coal""",0
1119,2021-07-21,6,"""Hydro Run-of-river and poundage""",51
1120,2021-07-21,6,"""Hydro Pumped Storage""",0
1121,2021-07-21,6,"""Biomass""",2430
1122,2021-07-21,7,"""Solar""",1
