HDR,SYSTEM FREQUENCY DATA
FREQ,20210720162545,50.054
FREQ,20210720162600,50.029
FREQ,20210720162615,50.046
FREQ,20210720162630,50.048
FREQ,20210720162645,50.054
FREQ,20210720162700,50.058
FREQ,20210720162715,50.046
FREQ,20210720162730,50.051
FREQ,20210720162745,50.053
FREQ,20210720162800,50.049
FREQ,20210720162815,50.024
FREQ,20210720162830,50.030
FREQ,20210720162845,50.025
FREQ,20210720162900,50.051
FREQ,20210720162915,50.030
FREQ,20210720162930,50.050
FREQ,20210720162945,50.045
FREQ,20210720163000,50.018
FREQ,20210720163015,50.009
FREQ,20210720163030,50.021
FREQ,20210720163045,49.986
FREQ,20210720163100,50.003
FREQ,20210720163115,50.025
FREQ,20210720163130,50.035
FREQ,20210720163145,50.019
FREQ,20210720163200,50.035
FREQ,20210720163215,50.004
FREQ,20210720163230,50.039
FREQ,20210720163245,50.039
FREQ,20210720163300,50.028
FREQ,20210720163315,50.043
FREQ,20210720163330,50.065
FREQ,20210720163345,50.046
FREQ,20210720163400,50.039
FREQ,20210720163415,49.997
FREQ,20210720163430,50.008
FREQ,20210720163445,50.040
FREQ,20210720163500,50.027
FREQ,20210720163515,50.045
FREQ,20210720163530,50.039
FREQ,20210720163545,50.030
FREQ,20210720163600,50.001
FREQ,20210720163615,50.017
FREQ,20210720163630,50.015
FREQ,20210720163645,50.008
FREQ,20210720163700,50.035
FREQ,20210720163715,50.044
FREQ,20210720163730,50.028
FREQ,20210720163745,50.024
FREQ,20210720163800,50.010
FREQ,20210720163815,49.991
FREQ,20210720163830,49.984
FREQ,20210720163845,49.995
FREQ,20210720163900,50.001
FREQ,20210720163915,50.012
FREQ,20210720163930,50.007
FREQ,20210720163945,50.001
FREQ,20210720164000,49.970
FREQ,20210720164015,49.961
FREQ,20210720164030,49.961
FREQ,20210720164045,49.972
FREQ,20210720164100,49.984
FREQ,20210720164115,49.979
FREQ,20210720164130,49.960
FREQ,20210720164145,49.950
FREQ,20210720164200,49.939
FREQ,20210720164215,49.933
FREQ,20210720164230,49.942
FREQ,20210720164245,49.953
FREQ,20210720164300,49.949
