ignore,Fuel,Date,Zone,Week,Year,MW
FOU2T52W,INTIFA2,20210721091000,N,37,2021,1100
FOU2T52W,INTIRL,20210721091000,N,37,2021,500
FOU2T52W,INTNED,20210721091000,N,37,2021,1000
FOU2T52W,INTNEM,20210721091000,N,37,2021,1046
FOU2T52W,INTNSL,20210721091000,N,37,2021,0
FOU2T52W,NPSHYD,20210721091000,N,37,2021,1098
FOU2T52W,NUCLEAR,20210721091000,N,37,2021,7905
FOU2T52W,OCGT,20210721091000,N,37,2021,943
FOU2T52W,OTHER,20210721091000,N,37,2021,100
FOU2T52W,PS,20210721091000,N,37,2021,2060
FOU2T52W,WIND,20210721091000,N,37,2021,5155
FOU2T52W,BIOMASS,20210721091000,N,38,2021,2616
FOU2T52W,CCGT,20210721091000,N,38,2021,24536
FOU2T52W,COAL,20210721091000,N,38,2021,4759
FOU2T52W,INTELEC,20210721091000,N,38,2021,0
FOU2T52W,INTEW,20210721091000,N,38,2021,0
FOU2T52W,INTFR,20210721091000,N,38,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,38,2021,1100
FOU2T52W,INTIRL,20210721091000,N,38,2021,500
FOU2T52W,INTNED,20210721091000,N,38,2021,1000
FOU2T52W,INTNEM,20210721091000,N,38,2021,0
FOU2T52W,INTNSL,20210721091000,N,38,2021,0
FOU2T52W,NPSHYD,20210721091000,N,38,2021,1098
FOU2T52W,NUCLEAR,20210721091000,N,38,2021,7870
FOU2T52W,OCGT,20210721091000,N,38,2021,889
FOU2T52W,OTHER,20210721091000,N,38,2021,100
FOU2T52W,PS,20210721091000,N,38,2021,2060
FOU2T52W,WIND,20210721091000,N,38,2021,7807
FOU2T52W,BIOMASS,20210721091000,N,39,2021,2616
FOU2T52W,CCGT,20210721091000,N,39,2021,24518
FOU2T52W,COAL,20210721091000,N,39,2021,4759
FOU2T52W,INTELEC,20210721091000,N,39,2021,0
FOU2T52W,INTEW,20210721091000,N,39,2021,0
FOU2T52W,INTFR,20210721091000,N,39,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,39,2021,1100
FOU2T52W,INTIRL,20210721091000,N,39,2021,500
FOU2T52W,INTNED,20210721091000,N,39,2021,0
FOU2T52W,INTNEM,20210721091000,N,39,2021,1000
FOU2T52W,INTNSL,20210721091000,N,39,2021,0
FOU2T52W,NPSHYD,20210721091000,N,39,2021,1098
FOU2T52W,NUCLEAR,20210721091000,N,39,2021,7693
FOU2T52W,OCGT,20210721091000,N,39,2021,889
FOU2T52W,OTHER,20210721091000,N,39,2021,100
FOU2T52W,PS,20210721091000,N,39,2021,2480
